,Unnamed: 0,LOCATION,TIME,Germany_inflation_rate,time_close,BTC_closing_price,yfit,xfit
0,0.0,DEU,2015-06-01,0.8781201999999999,2015-04-30 00:00:00+00:00,146.12,,
1,1.0,DEU,2015-07-01,0.7956734000000001,2015-05-31 00:00:00+00:00,153.06,,
2,2.0,DEU,2015-08-01,0.7956734000000001,2015-06-30 00:00:00+00:00,154.97,,
3,3.0,DEU,2015-09-01,0.5952844,2015-07-31 00:00:00+00:00,181.00333333333333,,
4,4.0,DEU,2015-10-01,0.8781201999999999,2015-08-31 00:00:00+00:00,162.85666666666663,,
5,5.0,DEU,2015-11-01,0.17478670000000002,2015-09-30 00:00:00+00:00,154.57666666666668,,
6,6.0,DEU,2015-12-01,0.17478670000000002,2015-10-31 00:00:00+00:00,172.75,,
7,7.0,DEU,2016-01-01,0.5076142,2015-11-30 00:00:00+00:00,230.23666666666668,,
8,8.0,DEU,2016-02-01,0.1008065,2015-12-31 00:00:00+00:00,290.2266666666667,,
9,9.0,DEU,2016-03-01,0.3009027,2016-01-31 00:00:00+00:00,292.62333333333333,,
10,10.0,DEU,2016-04-01,-0.0998004,2016-02-29 00:00:00+00:00,274.18333333333334,,
11,11.0,DEU,2016-05-01,0.1992032,2016-03-31 00:00:00+00:00,289.38000000000005,,
12,12.0,DEU,2016-06-01,0.2988048,2016-04-30 00:00:00+00:00,309.3433333333333,,
13,13.0,DEU,2016-07-01,0.4970179,2016-05-31 00:00:00+00:00,314.16333333333336,,
14,14.0,DEU,2016-08-01,0.3976143,2016-06-30 00:00:00+00:00,419.3966666666667,,
15,15.0,DEU,2016-09-01,0.5976096,2016-07-31 00:00:00+00:00,515.3733333333333,,
16,16.0,DEU,2016-10-01,0.7968128000000001,2016-08-31 00:00:00+00:00,449.8475,,
17,17.0,DEU,2016-11-01,0.8024071999999999,2016-09-30 00:00:00+00:00,472.71333333333337,,
18,18.0,DEU,2016-12-01,1.504514,2016-10-31 00:00:00+00:00,532.6866666666666,,
19,19.0,DEU,2017-01-01,1.616162,2016-11-30 00:00:00+00:00,598.0533333333334,,
20,20.0,DEU,2017-02-01,1.913394,2016-12-31 00:00:00+00:00,686.7433333333332,,
21,21.0,DEU,2017-03-01,1.4,2017-01-31 00:00:00+00:00,738.9866666666667,,
22,22.0,DEU,2017-04-01,1.698302,2017-02-28 00:00:00+00:00,887.9966666666666,,
23,23.0,DEU,2017-05-01,1.192843,2017-03-31 00:00:00+00:00,883.1233333333333,,
24,24.0,DEU,2017-06-01,1.390268,2017-04-30 00:00:00+00:00,983.2333333333332,,
25,25.0,DEU,2017-07-01,1.384768,2017-05-31 00:00:00+00:00,1514.8366666666668,,
26,26.0,DEU,2017-08-01,1.584158,2017-06-30 00:00:00+00:00,2067.9933333333333,,
27,27.0,DEU,2017-09-01,1.683168,2017-07-31 00:00:00+00:00,1900.4016666666666,,
28,28.0,DEU,2017-10-01,1.284585,2017-08-31 00:00:00+00:00,3106.5056666666665,,
29,29.0,DEU,2017-11-01,1.59204,2017-09-30 00:00:00+00:00,3057.8033333333333,,
30,30.0,DEU,2017-12-01,1.383399,2017-10-31 00:00:00+00:00,4017.106666666666,,
31,31.0,DEU,2018-01-01,1.39165,2017-11-30 00:00:00+00:00,5717.056666666666,,
32,32.0,DEU,2018-02-01,1.086957,2017-12-31 00:00:00+00:00,10770.063333333334,,
33,33.0,DEU,2018-03-01,1.47929,2018-01-31 00:00:00+00:00,9876.883333333333,,
34,34.0,DEU,2018-04-01,1.277014,2018-02-28 00:00:00+00:00,6633.079999999999,,
35,35.0,DEU,2018-05-01,2.062868,2018-03-31 00:00:00+00:00,6785.493333333333,,
36,36.0,DEU,2018-06-01,1.860921,2018-04-30 00:00:00+00:00,5766.466666666667,,
37,37.0,DEU,2018-07-01,1.853659,2018-05-31 00:00:00+00:00,6420.746666666668,,
38,38.0,DEU,2018-08-01,1.851852,2018-06-30 00:00:00+00:00,5078.5999999999985,,
39,39.0,DEU,2018-09-01,1.94742,2018-07-31 00:00:00+00:00,5157.97,,
40,40.0,DEU,2018-10-01,2.341463,2018-08-31 00:00:00+00:00,5311.565000000001,,
41,41.0,DEU,2018-11-01,2.056807,2018-09-30 00:00:00+00:00,4960.323333333334,,
42,42.0,DEU,2018-12-01,1.559454,2018-10-31 00:00:00+00:00,4997.333333333333,,
43,43.0,DEU,2019-01-01,1.372549,2018-11-30 00:00:00+00:00,3994.5,,
44,44.0,DEU,2019-02-01,1.466276,2018-12-31 00:00:00+00:00,2912.856666666666,,
45,45.0,DEU,2019-03-01,1.263363,2019-01-31 00:00:00+00:00,2866.2566666666667,,
46,46.0,DEU,2019-04-01,2.036857,2019-02-28 00:00:00+00:00,2763.476666666667,,
47,47.0,DEU,2019-05-01,1.443696,2019-03-31 00:00:00+00:00,3065.1566666666668,,
48,48.0,DEU,2019-06-01,1.634615,2019-04-30 00:00:00+00:00,4040.2,,
49,49.0,DEU,2019-07-01,1.7241380000000002,2019-05-31 00:00:00+00:00,5750.463333333332,,
50,50.0,DEU,2019-08-01,1.435407,2019-06-30 00:00:00+00:00,7522.53,,
51,51.0,DEU,2019-09-01,1.241643,2019-07-31 00:00:00+00:00,8224.346666666666,,
52,52.0,DEU,2019-10-01,1.1439469999999998,2019-08-31 00:00:00+00:00,8805.886666666667,,
53,53.0,DEU,2019-11-01,1.055662,2019-09-30 00:00:00+00:00,7895.406666666666,,
54,54.0,DEU,2019-12-01,1.535509,2019-10-31 00:00:00+00:00,6597.956666666666,,
55,55.0,DEU,2020-01-01,1.7408119999999998,2019-11-30 00:00:00+00:00,6469.213333333332,,
56,56.0,DEU,2020-02-01,1.734104,2019-12-31 00:00:00+00:00,5474.086666666666,,
57,57.0,DEU,2020-03-01,1.439539,2020-01-31 00:00:00+00:00,6082.556666666666,,
58,58.0,DEU,2020-04-01,0.8555133,2020-02-29 00:00:00+00:00,7530.593333333332,,
59,59.0,DEU,2020-05-01,0.5692599,2020-03-31 00:00:00+00:00,5720.506666666667,,
60,60.0,DEU,2020-06-01,0.8514664000000001,2020-04-30 00:00:00+00:00,5614.0633333333335,,
61,61.0,DEU,2020-07-01,-0.09416196,2020-05-31 00:00:00+00:00,7320.54,,
62,62.0,DEU,2020-08-01,0.0,2020-06-30 00:00:00+00:00,7693.09,,
63,63.0,DEU,2020-09-01,-0.1886792,2020-07-31 00:00:00+00:00,7717.5375,,
64,64.0,DEU,2020-10-01,-0.1885014,2020-08-31 00:00:00+00:00,8968.646666666667,,
65,65.0,DEU,2020-11-01,-0.2849003,2020-09-30 00:00:00+00:00,8304.48,,
66,66.0,DEU,2020-12-01,-0.2835539,2020-10-31 00:00:00+00:00,9331.256666666666,,
67,67.0,DEU,2021-01-01,1.045627,2020-11-30 00:00:00+00:00,12850.81,,
68,68.0,DEU,2021-02-01,1.325758,2020-12-31 00:00:00+00:00,16988.72333333333,,
69,69.0,DEU,2021-03-01,1.7029330000000005,2021-01-31 00:00:00+00:00,25970.106666666667,,
70,70.0,DEU,2021-04-01,1.979265,2021-02-28 00:00:00+00:00,32549.94333333333,,
71,71.0,DEU,2021-05-01,2.54717,2021-03-31 00:00:00+00:00,39925.35666666667,,
72,72.0,DEU,2021-06-01,2.345216,2021-04-30 00:00:00+00:00,41446.51666666666,,
73,73.0,DEU,2021-07-01,3.770028,2021-05-31 00:00:00+00:00,33007.263333333336,,
74,74.0,DEU,2021-08-01,3.867924,2021-06-30 00:00:00+00:00,25347.84333333333,,
75,75.0,DEU,2021-09-01,4.064272,2021-07-31 00:00:00+00:00,24324.596666666668,,
76,76.0,DEU,2021-10-01,4.532578,2021-08-31 00:00:00+00:00,32926.090000000004,,
77,77.0,DEU,2021-11-01,5.238095,2021-09-30 00:00:00+00:00,33857.72,,
0,,,,,,,0.8086109820457305,146.12
1,,,,,,,0.8193294527428613,187.46173840507174
2,,,,,,,0.8299063810984691,228.80347681014348
3,,,,,,,0.8403426543974947,270.1452152152152
4,,,,,,,0.8506391578383761,311.48695362028695
5,,,,,,,0.8607967745330501,352.8286920253587
6,,,,,,,0.8708163855069512,394.1704304304304
7,,,,,,,0.8806988696990118,435.5121688355021
8,,,,,,,0.8904451039616625,476.85390724057385
9,,,,,,,0.9000559630608319,518.1956456456455
10,,,,,,,0.9095323196759466,559.5373840507173
11,,,,,,,0.9188750443999312,600.879122455789
12,,,,,,,0.9280850057392082,642.2208608608607
13,,,,,,,0.9371630701136981,683.5625992659325
14,,,,,,,0.94611010185682,724.9043376710042
15,,,,,,,0.9549269632154901,766.246076076076
16,,,,,,,0.9636145143501234,807.5878144811477
17,,,,,,,0.9721736133346324,848.9295528862194
18,,,,,,,0.9806051161564276,890.2712912912912
19,,,,,,,0.9889098767164183,931.6130296963629
20,,,,,,,0.9970887468290106,972.9547681014346
21,,,,,,,1.0051425762221098,1014.2965065065064
22,,,,,,,1.013072212537118,1055.638244911578
23,,,,,,,1.0208785013289368,1096.9799833166499
